tourney_id,tourney_date,surface,round,match_type,label,rank_diff,rank_pts_diff,age_diff,ht_diff,surface_per_diff,ace_vs_df_diff,first_in_diff,first_won_diff,second_won_diff,bp_saved_pct_diff
2000-M-SA-PAN-01A-2000b,20000101,Clay,R16,futures,1,-442.0,129.0,0.3000000000000007,,,,,,,
2000-M-SA-PAN-01A-2000c,20000101,Clay,R32,futures,0,501.0,-94.0,-7.4999999999999964,,,,,,,
2000-M-SA-PAN-01A-2000c,20000101,Clay,R32,futures,0,241.0,-24.0,0.10000000000000142,-13.0,,,,,,
2000-M-SA-PAN-01A-2000c,20000101,Clay,R32,futures,1,,,10.2,,,,,,,
2000-M-SA-PAN-01A-2000c,20000101,Clay,R32,futures,1,0.0,0.0,-2.1999999999999993,,,,,,,
2000-M-SA-PAN-01A-2000c,20000101,Clay,R32,futures,0,803.0,-143.0,5.199999999999999,,,,,,,
2000-M-SA-PAN-01A-2000c,20000101,Clay,R16,futures,1,440.0,-15.0,-0.8000000000000007,,,,,,,
2000-M-SA-PAN-01A-2000c,20000101,Clay,R32,futures,0,,,-2.0,,,,,,,
2000-M-SA-PAN-01A-2000c,20000101,Clay,R16,futures,0,,,0.3999999999999986,,,,,,,
2000-M-SA-PAN-01A-2000c,20000101,Clay,R16,futures,1,-566.0,54.0,4.299999999999997,,,,,,,
2000-M-SA-PAN-01A-2000c,20000101,Clay,R16,futures,0,,,5.200000000000003,,,,,,,
2000-M-SA-PAN-01A-2000c,20000101,Clay,R16,futures,0,652.0,-99.0,-11.499999999999996,,,,,,,
2000-M-SA-PAN-01A-2000c,20000101,Clay,R16,futures,0,,,9.2,,,,,,,
2000-M-SA-PAN-01A-2000c,20000101,Clay,R16,futures,1,-806.0,144.0,3.3999999999999986,-5.0,,,,,,
2000-M-SA-PAN-01A-2000c,20000101,Clay,QF,futures,1,334.0,-9.0,2.599999999999998,,,,,,,
2000-M-SA-PAN-01A-2000c,20000101,Clay,R16,futures,0,-176.0,40.0,6.099999999999998,18.0,,,,,,
2000-M-SA-PAN-01A-2000c,20000101,Clay,R32,futures,0,,,-3.200000000000003,,,,,,,
2000-M-SA-PAN-01A-2000c,20000101,Clay,R32,futures,1,,,-1.5,,,,,,,
2000-M-SA-PAN-01A-2000c,20000101,Clay,R32,futures,0,,,-5.899999999999999,,,,,,,
2000-M-SA-PAN-01A-2000a,20000101,Clay,R32,futures,0,,,4.600000000000001,,,,,,,
2000-M-SA-PAN-01A-2000b,20000101,Clay,QF,futures,1,,,-8.299999999999997,,,,,,,
2000-M-SA-PAN-01A-2000b,20000101,Clay,QF,futures,1,-711.0,65.0,4.300000000000001,,,,,,,
2000-M-SA-PAN-01A-2000b,20000101,Clay,QF,futures,1,-270.0,76.0,13.699999999999996,0.0,,,,,,
